method1,method2,stability
kmeans,dbscan,0.0
kmeans,agglomerative,0.0
kmeans,graph_correlation,0.0
kmeans,graph_mutual_info,0.0
kmeans,graph_cosine,0.0
kmeans,graph_dtw,0.0
dbscan,agglomerative,0.0
dbscan,graph_correlation,0.0
dbscan,graph_mutual_info,0.0
dbscan,graph_cosine,0.0
dbscan,graph_dtw,0.0
agglomerative,graph_correlation,0.0
agglomerative,graph_mutual_info,0.0
agglomerative,graph_cosine,0.0
agglomerative,graph_dtw,0.0
graph_correlation,graph_mutual_info,0.16666666666666666
graph_correlation,graph_cosine,1.0
graph_correlation,graph_dtw,0.0
graph_mutual_info,graph_cosine,0.16666666666666666
graph_mutual_info,graph_dtw,0.0
graph_cosine,graph_dtw,0.0
